country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Slovenia,SVN,2020,0.220000005,53706800044,4.387,Level：1
Solomon Islands,SLB,2020,1.939999962,1536148246,60.728,Level：3
Somalia,SOM,2020,11.45999985,6883000000,119.081,Level：6
South Africa,ZAF,2020,3.220000076,3.38E+11,62.742,Level：4
South Korea,KOR,2020,0.3,1.64E+12,2.371,Level：1
South Sudan,SSD,2020,9.790000153,,99.177,Level：5
Spain,ESP,2020,0.320000005,1.28E+12,5.979,Level：1
Sri Lanka,LKA,2020,0.69000001,85349112171,15.854,Level：2
Sudan,SDN,2020,5.659999847,27034593750,82.208,Level：5
Suriname,SUR,2020,1.760000038,2911807496,56.028,Level：3
Sweden,SWE,2020,0.25999999,5.47E+11,3.325,Level：1
Switzerland,CHE,2020,0.4,7.40E+11,2.194,Level：1
Syria,SYR,2020,2.239999962,11079795397,38.625,Level：4
Tajikistan,TJK,2020,3.229999924,8133996648,46.589,Level：4
Tanzania,TZA,2020,4.890000153,62409709111,124.482,Level：4
Thailand,THA,2020,0.869999981,5.00E+11,33.224,Level：2
Timor,TLS,2020,4.229999924,2158392540,34.557,Level：4
Togo,TGO,2020,6.440000153,7574636979,78.994,Level：5
Tonga,TON,2020,1.139999962,484806718,19.098,Level：3
Trinidad and Tobago,TTO,2020,1.660000038,21059428851,38.57,Level：3
Tunisia,TUN,2020,1.660000038,42537832456,6.807,Level：3
Turkey,TUR,2020,0.95,7.20E+11,17.74,Level：2
Turkmenistan,TKM,2020,4.179999924,,22.52,Level：4
Tuvalu,TUV,2020,2.2,55054711,33.603,Level：4
Uganda,UGA,2020,4.329999924,37600368181,109.579,Level：4
Ukraine,UKR,2020,0.810000038,1.57E+11,15.323,Level：2
United Arab Emirates,ARE,2020,0.65999999,3.49E+11,3.077,Level：2
United Kingdom,GBR,2020,0.419999981,2.70E+12,10.645,Level：1
United States,USA,2020,0.630000019,2.11E+13,15.83,Level：2
Uruguay,URY,2020,0.619999981,53560755047,35.927,Level：2
Uzbekistan,UZB,2020,1.389999962,59894305353,16.479,Level：3
Vanuatu,VUT,2020,2.489999962,896879875,64.857,Level：4
Venezuela,VEN,2020,2.420000076,,84.075,Level：4
Vietnam,VNM,2020,2.089999962,3.47E+11,34.709,Level：4
Yemen,YEM,2020,5.959999847,,56.16,Level：5
Zambia,ZMB,2020,6.140000153,18110631358,119.009,Level：5
Afghanistan,AFG,2010,8.780000305,15354604544,120.82,Level：5
Albania,ALB,2010,1.330000019,10420206592,19.65,Level：3
Algeria,DZA,2010,2.739999962,1.41E+11,10.288,Level：4
Andorra,AND,2010,0.45,2927781376,10.558,Level：1
Angola,AGO,2010,12.04000015,93159276544,164.955,Level：6
Antigua and Barbuda,ATG,2010,1,1231261568,42.477,Level：3
Argentina,ARG,2010,1.45,5.53E+11,67.064,Level：3
Armenia,ARM,2010,1.829999924,8513508864,29.07,Level：3
Australia,AUS,2010,0.480000019,1.18E+12,16.622,Level：1
Austria,AUT,2010,0.430000019,3.62E+11,10.434,Level：1
Azerbaijan,AZE,2010,3.729999924,47218532352,54.472,Level：4
Bahamas,BHS,2010,1.560000038,11442470912,35.993,Level：3
Bahrain,BHR,2010,0.85,26036230144,15.732,Level：2
Bangladesh,BGD,2010,4.909999847,1.44E+11,112.165,Level：4
Barbados,BRB,2010,1.5,4727000064,45.138,Level：3
Belarus,BLR,2010,0.55999999,53317529600,22.382,Level：2
Belgium,BEL,2010,0.44000001,4.33E+11,10.265,Level：1
Belize,BLZ,2010,1.889999962,1524864000,71.989,Level：3
Benin,BEN,2010,10.9,9094481920,95.85,Level：6
Bhutan,BTN,2010,4.240000153,1532318208,38.769,Level：4
Bolivia,BOL,2010,4.159999847,25266542592,76.308,Level：4
Bosnia and Herzegovina,BIH,2010,0.719999981,15177492480,14.83,Level：2
Botswana,BWA,2010,5.140000153,11211688960,52.223,Level：5
Brazil,BRA,2010,1.860000038,1.70E+12,66.179,Level：3
Brunei,BRN,2010,0.969999981,12994802688,15.721,Level：2
Bulgaria,BGR,2010,1.080000019,47537504256,43.958,Level：3
Burkina Faso,BFA,2010,12.15,9088720896,129.541,Level：6
Burundi,BDI,2010,9.1,2718169856,75.944,Level：5
Cambodia,KHM,2010,4.379999924,12767924224,49.316,Level：4
Cameroon,CMR,2010,11.00999985,25389533184,127.055,Level：6
Canada,CAN,2010,0.569999981,1.40E+12,13.964,Level：2
Cape Verde,CPV,2010,2.629999924,1483214208,78.974,Level：4
Central African Republic,CAF,2010,14.5,2332499968,167.675,Level：6
Chad,TCD,2010,14.76999969,8653710336,185.266,Level：6
Chile,CHL,2010,0.869999981,2.01E+11,53.205,Level：2
China,CHN,2010,1.580000019,7.55E+12,15.908,Level：3
Colombia,COL,2010,1.829999924,2.33E+11,77.996,Level：3
Comoros,COM,2010,8.459999847,833484352,80.351,Level：5
Congo,COG,2010,6.2,10349750272,128.024,Level：5
Costa Rica,CRI,2010,1.05,46858457088,65.123,Level：3
Cote d'Ivoire,CIV,2010,10.63000031,34643521536,119.999,Level：6
Croatia,HRV,2010,0.55,50466734080,12.58,Level：2
Cuba,CUB,2010,0.64000001,75879251968,55.976,Level：2
Cyprus,CYP,2010,0.34000001,21581989888,6.133,Level：1
Czechia,CZE,2010,0.34000001,1.73E+11,11.975,Level：1
Democratic Republic of Congo,COD,2010,11.38000031,26093584384,122.612,Level：6
